Year;Ticker;ID_ISIN;Name;ESG;ENVIRONMENTAL;SOCIAL;GOVERNANCE;AIR_QUALITY;CLIMATE_EXPOS;ECOLOGICAL_IMPACT;ENERGY_MANAGEMENT;ENV_SPPLY_CHAIN_MGMT;GHG_EMISSIONS_MNGT;SUSTAINABLE_FINANCE;SUSTAINABLE_PRODUCT;WASTE_MANAGEMENT;WATER_MANAGEMENT;ACCESS_AFFORDABILITY;COMM_RIGHTS_RELATION;CUSTOMER_WELFARE;DATA_SEC_CSTMR_PRIVCY;ETHICS_COMPLIANCE;LABOR_EMPLYMNT_PRACT;MARKETING_LABELING;OHS_MGMT;OPERATION_RISK_MGMT;PRODUCT_QUALITY_MNGT;SOCIAL_SPPL_CHN_MGMT;BOD_DIRECTOR_ROLES;BOD_DIVERSITY;BOD_INDEPENDENCE;BOD_REFRESHMENT;INCENTIVE_STRUCTURE;PAY_PERFORMANCE;PAY_GOVERNANCE;DIRECTOR_VOTING;SHAREHOLDER_POLICIES;AUDIT_CMTE;AUDIT_OUTCOME;EXTERNAL_AUDITOR;SALES_REV_TURN;EBITDA;EBIT;PRETAX_INC;NET_INCOME;BS_TOT_ASSET;EARN_FOR_COMMON;TOT_COMMON_EQY;TOTAL_EQUITY;BS_LT_BORROW;IS_RD_EXPEND;BS_CUR_ASSET_REPORT;BS_CUR_LIAB;BS_SH_OUT;PX_LAST;BS_TOT_LIAB2;PFD_EQTY_HYBRID_CAPITAL;MINORITY_NONCONTROLLING_INTEREST;CURRENT_FULL_FISCAL_YEAR_END;EBIT_ON_ASSET;RETURN_ON_ASSET;RETURN_COM_EQY;TOBIN_Q_RATIO;SALES_GROWTH;LT_DEBT_TO_TOT_ASSET;RD_EXPEND_TO_NET_SALES;CUR_RATIO;BETA_RAW_OVERRIDABLE;GICS_SECTOR_NAME
2016;AAL UW Equity;US02376R1023;American Airlines Group Inc;2,80;1,50;2,09;7,32;2,53;0,83;4,39;1,39;#N/A N/A;0,74;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;3,00;0,00;#N/A N/A;2,36;#N/A N/A;2,86;#N/A N/A;8,68;3,32;8,17;9,94;7,75;7,16;9,64;9,42;4,63;9,49;10,00;7,57; $40.180.000.000,00 ; $6.809.000.000,00 ; $5.284.000.000,00 ; $4.299.000.000,00 ; $2.676.000.000,00 ; $51.274.000.000,00 ; $2.676.000.000,00 ; $3.785.000.000,00 ; $3.785.000.000,00 ; $22.489.000.000,00 ; $-   ; $10.324.000.000,00 ; $13.872.000.000,00 ; 507.294.153,00 ; $46,69 ; $47.489.000.000,00 ; $-   ; $-   ;31.12.2023;10,31%;5,37%;56,82%;1,05;-1,98%;43,86%;0,00%;0,74;1,59;Industrials
2017;AAL UW Equity;US02376R1023;American Airlines Group Inc;2,89;1,60;2,15;7,43;2,57;1,67;4,39;1,49;#N/A N/A;0,76;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;3,00;0,00;#N/A N/A;2,29;#N/A N/A;3,12;#N/A N/A;9,30;3,24;8,17;10,00;7,51;7,45;9,73;9,49;4,63;9,49;10,00;8,13; $42.622.000.000,00 ; $5.933.000.000,00 ; $4.231.000.000,00 ; $3.395.000.000,00 ; $1.282.000.000,00 ; $52.785.000.000,00 ; $1.282.000.000,00 ; $-780.000.000,00 ; $-780.000.000,00 ; $22.511.000.000,00 ; $-   ; $9.146.000.000,00 ; $15.358.000.000,00 ; 475.507.887,00 ; $52,03 ; $53.565.000.000,00 ; $-   ; $-   ;31.12.2023;8,02%;2,46%;#WERT!;1,13;6,08%;42,65%;0,00%;0,60;1,48;Industrials
2018;AAL UW Equity;US02376R1023;American Airlines Group Inc;3,47;0,93;4,41;7,78;8,77;1,67;4,39;0,00;#N/A N/A;0,52;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;3,00;10,00;#N/A N/A;4,45;#N/A N/A;2,85;#N/A N/A;8,61;3,34;8,17;9,98;7,11;9,06;9,40;9,26;7,14;9,49;10,00;8,42; $44.541.000.000,00 ; $6.402.000.000,00 ; $2.656.000.000,00 ; $1.884.000.000,00 ; $1.412.000.000,00 ; $60.580.000.000,00 ; $1.412.000.000,00 ; $-169.000.000,00 ; $-169.000.000,00 ; $29.081.000.000,00 ; $-   ; $8.637.000.000,00 ; $18.096.000.000,00 ; 460.610.870,00 ; $32,11 ; $60.749.000.000,00 ; $-   ; $-   ;31.12.2023;4,38%;2,49%;#WERT!;1,10;4,50%;48,00%;0,00%;0,48;1,34;Industrials
2019;AAL UW Equity;US02376R1023;American Airlines Group Inc;5,08;3,77;5,03;7,71;8,60;1,67;6,03;3,04;#N/A N/A;3,78;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;3,00;10,00;#N/A N/A;3,45;#N/A N/A;5,66;#N/A N/A;9,25;3,68;8,17;9,65;5,96;9,02;8,62;8,76;7,14;9,49;10,00;8,34; $45.768.000.000,00 ; $7.074.000.000,00 ; $3.065.000.000,00 ; $2.256.000.000,00 ; $1.686.000.000,00 ; $59.995.000.000,00 ; $1.686.000.000,00 ; $-118.000.000,00 ; $-118.000.000,00 ; $28.875.000.000,00 ; $-   ; $8.206.000.000,00 ; $18.311.000.000,00 ; 428.202.506,00 ; $28,68 ; $60.113.000.000,00 ; $-   ; $-   ;31.12.2023;5,11%;2,80%;#WERT!;1,09;2,75%;48,13%;0,00%;0,45;1,41;Industrials
2020;AAL UW Equity;US02376R1023;American Airlines Group Inc;4,67;2,86;5,33;7,14;6,14;1,67;6,03;1,37;#N/A N/A;3,08;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;3,00;10,00;#N/A N/A;3,72;#N/A N/A;6,34;#N/A N/A;8,16;3,34;8,17;8,72;5,53;3,81;8,51;8,82;7,14;10,00;10,00;9,48; $17.337.000.000,00 ; $-6.419.000.000,00 ; $-10.421.000.000,00 ; $-11.453.000.000,00 ; $-8.885.000.000,00 ; $62.008.000.000,00 ; $-8.885.000.000,00 ; $-6.867.000.000,00 ; $-6.867.000.000,00 ; $36.573.000.000,00 ; $-   ; $11.095.000.000,00 ; $16.569.000.000,00 ; 621.479.522,00 ; $15,77 ; $68.875.000.000,00 ; $-   ; $-   ;31.12.2023;-16,81%;-14,57%;#WERT!;1,29;-62,12%;58,98%;0,00%;0,67;2,18;Industrials
2021;AAL UW Equity;US02376R1023;American Airlines Group Inc;5,59;5,72;4,72;6,95;#N/A N/A;9,17;5,17;4,42;#N/A N/A;6,53;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;3,00;10,00;#N/A N/A;3,92;#N/A N/A;4,20;#N/A N/A;8,04;4,14;8,17;7,29;5,24;3,97;9,17;7,85;6,07;9,49;10,00;8,83; $29.882.000.000,00 ; $2.972.000.000,00 ; $-1.059.000.000,00 ; $-2.548.000.000,00 ; $-1.993.000.000,00 ; $66.467.000.000,00 ; $-1.993.000.000,00 ; $-7.340.000.000,00 ; $-7.340.000.000,00 ; $42.181.000.000,00 ; $-   ; $17.336.000.000,00 ; $19.006.000.000,00 ; 647.727.595,00 ; $17,96 ; $73.807.000.000,00 ; $-   ; $-   ;31.12.2023;-1,59%;-3,10%;#WERT!;1,29;72,36%;63,46%;0,00%;0,91;2,24;Industrials
2022;AAL UW Equity;US02376R1023;American Airlines Group Inc;5,55;6,29;3,95;7,33;#N/A N/A;9,17;5,17;4,23;#N/A N/A;8,10;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;3,00;10,00;#N/A N/A;2,74;#N/A N/A;3,20;#N/A N/A;7,90;4,12;8,45;6,03;6,15;5,41;9,42;9,28;6,07;9,49;10,00;9,07; $48.971.000.000,00 ; $5.591.000.000,00 ; $1.607.000.000,00 ; $186.000.000,00 ; $127.000.000,00 ; $64.716.000.000,00 ; $127.000.000,00 ; $-5.799.000.000,00 ; $-5.799.000.000,00 ; $38.948.000.000,00 ; $-   ; $15.269.000.000,00 ; $21.496.000.000,00 ; 650.642.461,00 ; $12,72 ; $70.515.000.000,00 ; $-   ; $-   ;31.12.2023;2,48%;0,19%;#WERT!;1,22;63,88%;60,18%;0,00%;0,71;1,96;Industrials
2023;AAL UW Equity;US02376R1023;American Airlines Group Inc;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A; $52.788.000.000,00 ; $7.304.000.000,00 ; $3.034.000.000,00 ; $1.121.000.000,00 ; $822.000.000,00 ; $63.058.000.000,00 ; $822.000.000,00 ; $-5.202.000.000,00 ; $-5.202.000.000,00 ; $35.722.000.000,00 ; $-   ; $13.572.000.000,00 ; $22.062.000.000,00 ; 654.273.192,00 ; $13,74 ; $68.260.000.000,00 ; $-   ; $-   ;31.12.2023;4,81%;1,29%;#WERT!;1,27;7,79%;56,65%;0,00%;0,62;1,27;Industrials
2015;AAPL UW Equity;US0378331005;Apple Inc;3,77;3,00;2,13;8,35;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;3,00;#N/A N/A;#N/A N/A;#N/A N/A;10,00;#N/A N/A;0,00;#N/A N/A;3,20;#N/A N/A;#N/A N/A;#N/A N/A;3,00;1,00;7,44;4,78;9,54;9,60;7,93;7,69;9,29;8,96;9,14;9,49;10,00;7,52; $234.988.000.000,00 ; $82.791.000.000,00 ; $71.155.000.000,00 ; $72.672.000.000,00 ; $53.731.000.000,00 ; $293.284.000.000,00 ; $53.731.000.000,00 ; $128.267.000.000,00 ; $128.267.000.000,00 ; $53.204.000.000,00 ; $8.576.000.000,00 ; $76.219.000.000,00 ; $76.092.000.000,00 ; 22.177.948.000,00 ; $26,32 ; $165.017.000.000,00 ; $-   ; $-   ;30.09.2023;24,26%;19,36%;42,71%;10,39;17,61%;18,14%;3,65%;1,00;1,01;Information Technology
2016;AAPL UW Equity;US0378331005;Apple Inc;4,31;3,00;3,14;8,35;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;3,00;#N/A N/A;#N/A N/A;#N/A N/A;10,00;#N/A N/A;0,00;#N/A N/A;3,56;#N/A N/A;#N/A N/A;#N/A N/A;3,00;3,00;7,22;4,13;10,00;10,00;7,37;8,05;9,30;9,15;9,14;9,49;10,00;7,96; $218.118.000.000,00 ; $69.750.000.000,00 ; $59.212.000.000,00 ; $60.979.000.000,00 ; $45.217.000.000,00 ; $331.141.000.000,00 ; $45.217.000.000,00 ; $132.390.000.000,00 ; $132.390.000.000,00 ; $73.557.000.000,00 ; $10.512.000.000,00 ; $103.332.000.000,00 ; $84.130.000.000,00 ; 21.021.692.000,00 ; $28,96 ; $198.751.000.000,00 ; $-   ; $-   ;30.09.2023;17,88%;14,48%;34,69%;8,85;-7,18%;22,21%;4,82%;1,23;1,19;Information Technology
2017;AAPL UW Equity;US0378331005;Apple Inc;4,31;3,00;3,16;8,31;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;3,00;#N/A N/A;#N/A N/A;#N/A N/A;10,00;#N/A N/A;0,00;#N/A N/A;3,63;#N/A N/A;#N/A N/A;#N/A N/A;3,00;3,00;7,22;4,04;10,00;9,62;7,49;7,91;9,27;9,05;9,14;9,49;10,00;8,12; $239.176.000.000,00 ; $74.174.000.000,00 ; $64.259.000.000,00 ; $66.939.000.000,00 ; $50.525.000.000,00 ; $406.794.000.000,00 ; $50.525.000.000,00 ; $140.199.000.000,00 ; $140.199.000.000,00 ; $103.922.000.000,00 ; $12.117.000.000,00 ; $143.810.000.000,00 ; $115.788.000.000,00 ; 20.326.604.000,00 ; $42,31 ; $266.595.000.000,00 ; $-   ; $-   ;30.09.2023;15,80%;13,69%;37,07%;7,15;9,65%;25,55%;5,07%;1,24;1,26;Information Technology
2018;AAPL UW Equity;US0378331005;Apple Inc;4,45;3,00;3,59;7,94;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;3,00;#N/A N/A;#N/A N/A;#N/A N/A;10,00;#N/A N/A;10,00;#N/A N/A;3,63;#N/A N/A;#N/A N/A;#N/A N/A;3,00;3,00;6,93;3,96;10,00;7,04;7,79;6,87;9,14;9,03;9,14;9,49;10,00;7,63; $261.612.000.000,00 ; $79.523.000.000,00 ; $67.970.000.000,00 ; $69.779.000.000,00 ; $59.431.000.000,00 ; $373.719.000.000,00 ; $59.431.000.000,00 ; $117.892.000.000,00 ; $117.892.000.000,00 ; $92.989.000.000,00 ; $14.731.000.000,00 ; $140.828.000.000,00 ; $108.283.000.000,00 ; 18.919.212.000,00 ; $39,44 ; $255.827.000.000,00 ; $-   ; $-   ;30.09.2023;18,19%;15,23%;46,05%;7,26;9,38%;24,88%;5,63%;1,30;1,08;Information Technology
2019;AAPL UW Equity;US0378331005;Apple Inc;5,18;5,65;3,59;7,81;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;5,65;#N/A N/A;#N/A N/A;#N/A N/A;10,00;#N/A N/A;10,00;#N/A N/A;3,62;#N/A N/A;#N/A N/A;#N/A N/A;3,00;3,00;6,88;4,40;9,54;5,57;7,45;7,77;9,19;8,83;9,14;9,49;10,00;7,27; $267.683.000.000,00 ; $78.490.000.000,00 ; $66.153.000.000,00 ; $67.749.000.000,00 ; $57.527.000.000,00 ; $340.618.000.000,00 ; $57.527.000.000,00 ; $89.531.000.000,00 ; $89.531.000.000,00 ; $100.278.000.000,00 ; $16.766.000.000,00 ; $163.231.000.000,00 ; $102.161.000.000,00 ; 17.539.836.000,00 ; $73,41 ; $251.087.000.000,00 ; $-   ; $-   ;30.09.2023;19,42%;16,11%;55,47%;7,43;2,32%;29,44%;6,26%;1,60;1,10;Information Technology
2020;AAPL UW Equity;US0378331005;Apple Inc;5,11;5,65;3,56;7,58;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;5,65;#N/A N/A;#N/A N/A;#N/A N/A;10,00;#N/A N/A;10,00;#N/A N/A;3,51;#N/A N/A;#N/A N/A;#N/A N/A;3,00;3,00;7,34;4,31;9,54;3,54;7,63;7,46;9,26;8,65;9,14;9,49;10,00;7,09; $294.135.000.000,00 ; $85.940.000.000,00 ; $74.253.000.000,00 ; $74.752.000.000,00 ; $63.930.000.000,00 ; $354.054.000.000,00 ; $63.930.000.000,00 ; $66.224.000.000,00 ; $66.224.000.000,00 ; $99.281.000.000,00 ; $19.464.000.000,00 ; $154.106.000.000,00 ; $132.507.000.000,00 ; 16.823.263.000,00 ; $132,69 ; $287.830.000.000,00 ; $-   ; $-   ;30.09.2023;20,97%;18,41%;82,09%;9,25;9,88%;28,04%;6,62%;1,16;1,02;Information Technology
